Image,Predicted Animal,Predicted Behavior,Predicted Place,Predicted Time,Prediction Sentence
cow_crea_loriaz1900_2018-08-06_17-09-38_r1_crop1.jpg,cow,resting,the field,day,The cow is resting in the field in the day time
cow_crea_loriaz1900_2018-08-10_18-45-12_r3_crop0.jpg,cow,resting,the hill,night,The cow is resting on the hill in the night time
cow_crea_loriaz1900_2018-08-10_18-45-36_r4_crop0.jpg,goat,eating,the field,night,The goat is eating in the field in the night time
cow_crea_loriaz1900_2018-08-10_18-52-51_r2_crop1.jpg,cow,resting,the field,day,The cow is resting in the field in the day time
cow_crea_loriaz1900_2018-08-10_18-57-20_r2_crop0.jpg,cow,eating,the field,night,The cow is eating in the field in the night time
cow_crea_loriaz1900_2018-08-10_18-58-45_r5_crop0.jpg,cow,eating,the field,day,The cow is eating in the field in the day time
cow_crea_loriaz1900_2018-08-10_19-00-12_r1_crop0.jpg,cow,moving,the field,day,The cow is moving in the field in the day time
cow_crea_loriaz1900_2018-09-01_06-24-53_r1_crop3.jpg,cow,eating,the field,day,The cow is eating in the field in the day time
cow_crea_loriaz1900_2018-09-01_06-25-02_r2_crop2.jpg,cow,moving,the forrest,night,The cow is moving in the forrest in the night time
cow_crea_loriaz1900_2018-09-03_07-54-18_r1_crop0.jpg,cow,resting,the field,day,The cow is resting in the field in the day time
cow_crea_loriaz1900_2018-09-03_07-55-35_r2_crop0.jpg,cow,resting,the field,day,The cow is resting in the field in the day time
cow_crea_loriaz1900_2018-09-03_09-39-05_r2_crop0.jpg,cow,moving,the forrest,day,The cow is moving in the forrest in the day time
cow_crea_loriaz1900_2018-09-07_17-56-31_r1_crop0(1).jpg,cow,resting,the field,day,The cow is resting in the field in the day time
cow_crea_loriaz1900_2018-09-07_17-58-22_r14_crop0.jpg,cow,moving,the forrest,night,The cow is moving in the forrest in the night time
cow_crea_loriaz1900_2018-09-07_17-59-59_r9_crop0.jpg,cow,eating,the field,day,The cow is eating in the field in the day time
cow_crea_loriaz1900_2018-09-07_18-00-18_r4_crop1.jpg,cow,resting,the field,day,The cow is resting in the field in the day time
cow_crea_loriaz1900_2018-09-16_15-51-13_r3_crop0.jpg,cow,resting,the field,day,The cow is resting in the field in the day time
cow_crea_loriaz1900_2018-09-16_15-51-17_r4_crop0.jpg,cow,eating,the forrest,day,The cow is eating in the forrest in the day time
cow_crea_loriaz1900_2018-09-23_18-43-59_r5_crop0.jpg,cow,resting,the hill,night,The cow is resting on the hill in the night time
cow_crea_loriaz1900_2018-09-24_07-35-36_r4_crop0.jpg,cow,moving,the forrest,night,The cow is moving in the forrest in the night time
cow_crea_loriaz1900_2018-09-24_07-35-37_r6_crop0.jpg,cow,moving,the forrest,day,The cow is moving in the forrest in the day time
cow_crea_loriaz1900_2018-09-24_07-37-48_r15_crop0.jpg,cow,moving,the forrest,day,The cow is moving in the forrest in the day time
cow_crea_loriaz1900_2019-08-09_18-00-33_r10_crop0.jpg,goat,eating,the field,night,The goat is eating in the field in the night time
cow_crea_loriaz1900_2019-08-09_18-00-40_r15_crop1.jpg,cow,resting,the field,day,The cow is resting in the field in the day time
cow_crea_loriaz1900_2019-08-09_18-54-38_r15_crop2.jpg,cow,moving,the field,night,The cow is moving in the field in the night time
cow_crea_loriaz1900_2019-08-20_18-07-51_r25_crop0.jpg,cow,resting,the field,day,The cow is resting in the field in the day time
cow_crea_loriaz1900_2019-09-01_17-45-44_r9_crop3.jpg,cow,resting,the field,day,The cow is resting in the field in the day time
cow_crea_loriaz1900_2019-09-01_17-46-05_r4_crop0.jpg,cow,resting,the forrest,day,The cow is resting in the forrest in the day time
